"intermediatorid","sendconfigs_id","validatelegalattachments","digsigtype"
"SPAH",339331325,f,"FACTURAE"
"SPAH",339331325,f,"FATTURAPA"
"SPAH",339331325,f,"CXML"
"SERES",363173099,f,"PDF"
"SERES",363173099,f,"GENERIC_PKCS7"
"SERES",363173099,f,"PDF-PK7"
"SERES",363173099,f,"ASCC_XML"
"SERES",363173099,f,"FACTURAE"
"SERES",363173099,f,"FATTURAPA"
"SERES",363173099,f,"CXML"
"BAVEL",395869690,f,"PDF"
"BAVEL",395869690,f,"GENERIC_PKCS7"
"BAVEL",395869690,f,"PDF-PK7"
"BAVEL",395869690,f,"ASCC_XML"
"BAVEL",395869690,f,"FACTURAE"
"BAVEL",395869690,f,"FATTURAPA"
"BAVEL",395869690,f,"CXML"
"ITELLA",488631754,f,"PDF"
"ITELLA",488631754,f,"GENERIC_PKCS7"
"ITELLA",488631754,f,"PDF-PK7"
"ITELLA",488631754,f,"ASCC_XML"
"ITELLA",488631754,f,"FACTURAE"
"ITELLA",488631754,f,"FATTURAPA"
"ITELLA",488631754,f,"CXML"
"SIXPAYNET",511613413,f,"PDF"
"SIXPAYNET",511613413,f,"GENERIC_PKCS7"
"SIXPAYNET",511613413,f,"PDF-PK7"
"SIXPAYNET",511613413,f,"ASCC_XML"
"SIXPAYNET",511613413,f,"FACTURAE"
"SIXPAYNET",511613413,f,"FATTURAPA"
"SIXPAYNET",511613413,f,"CXML"
"003701011385",319780149,f,"PDF"
"TIETOSE",319780149,f,"PDF"
"003701011385",319780149,f,"GENERIC_PKCS7"
"TIETOSE",319780149,f,"GENERIC_PKCS7"
"003701011385",319780149,f,"PDF-PK7"
"TIETOSE",319780149,f,"PDF-PK7"
"003701011385",319780149,f,"ASCC_XML"
"TIETOSE",319780149,f,"ASCC_XML"
"003701011385",319780149,f,"FACTURAE"
"TIETOSE",319780149,f,"FACTURAE"
"003701011385",319780149,f,"FATTURAPA"
"TIETOSE",319780149,f,"FATTURAPA"
"003701011385",319780149,f,"CXML"
"TIETOSE",319780149,f,"CXML"
"LOGIQ",655127466,f,"PDF"
"LOGIQ",655127466,f,"GENERIC_PKCS7"
"LOGIQ",655127466,f,"PDF-PK7"
"LOGIQ",655127466,f,"ASCC_XML"
"LOGIQ",655127466,f,"FACTURAE"
"LOGIQ",655127466,f,"FATTURAPA"
"LOGIQ",655127466,f,"CXML"
"CI_TEST",140757819,f,"PDF"
"TEST",140757819,f,"PDF"
"CI_TEST",140757819,f,"GENERIC_PKCS7"
"TEST",140757819,f,"GENERIC_PKCS7"
"CI_TEST",140757819,f,"PDF-PK7"
"TEST",140757819,f,"PDF-PK7"
"CI_TEST",140757819,f,"ASCC_XML"
"TEST",140757819,f,"ASCC_XML"
"CI_TEST",140757819,f,"FACTURAE"
"TEST",140757819,f,"FACTURAE"
"CI_TEST",140757819,f,"FATTURAPA"
"TEST",140757819,f,"FATTURAPA"
"CI_TEST",140757819,f,"CXML"
"TEST",140757819,f,"CXML"
"EXPSYS",80685124,f,"PDF"
"EXPSYS",80685124,f,"GENERIC_PKCS7"
"EXPSYS",80685124,f,"PDF-PK7"
"EXPSYS",80685124,f,"ASCC_XML"
"EXPSYS",80685124,f,"FACTURAE"
"EXPSYS",80685124,f,"FATTURAPA"
"EXPSYS",80685124,f,"CXML"
"EXPSYS",275255433,f,"PDF"
"EXPSYS",275255433,f,"GENERIC_PKCS7"
"EXPSYS",275255433,f,"PDF-PK7"
"EXPSYS",275255433,f,"ASCC_XML"
"EXPSYS",275255433,f,"FACTURAE"
"EXPSYS",275255433,f,"FATTURAPA"
"EXPSYS",275255433,f,"CXML"
"BPROCESS",44771807,f,"PDF"
"BPROCESS",44771807,f,"GENERIC_PKCS7"
"BPROCESS",44771807,f,"PDF-PK7"
"BPROCESS",44771807,f,"ASCC_XML"
"BPROCESS",44771807,f,"FACTURAE"
"BPROCESS",44771807,f,"FATTURAPA"
"BPROCESS",44771807,f,"CXML"
"B2B21G",592188586,f,"PDF"
"B2B21G",592188586,f,"GENERIC_PKCS7"
"B2B21G",592188586,f,"PDF-PK7"
"B2B21G",592188586,f,"ASCC_XML"
"B2B21G",592188586,f,"FACTURAE"
"B2B21G",592188586,f,"FATTURAPA"
"B2B21G",592188586,f,"CXML"
